,0
pclass,-0.22771544030929453
age,-0.20407958135213897
sibsp,-0.3039540539590405
parch,-0.2665296094057421
fare,0.11127855029444518
family_size,-0.34560509235896314
is_alone,0.06164692650509707
has_cabin,0.17782112591886043
has_boat,3.9731386841980028
has_home_dest,-0.19866036522769762
has_ticket,0.0
has_name,0.0
sex_male,-0.44049635322591657
embarked_Q,0.30822295789827525
embarked_S,0.16717494730524585
title_Miss,0.06999333301328312
title_Mr,-1.071890700337162
title_Mrs,0.5796832119544113
title_Rare,-0.19222830437618277
